title,address (option),city,state,country,latitude (option),longitude (option),postal code,description (option),phone (option),website (option),facebook (option),twitter (option),linkedin (option),instagram (option),whatsapp (option),youtube id (option),feature image,gallery images,timezone,show_hours (1:show 2:not show),hours,exceptional_hours
جمعية الوفاء للتنمية والتأهيل الاجتماعى,"ش د. النبوى المهندس, المندره قبلى, الاسكندرية",المندرة,الاسكندرية,Egypt,,,,,+203-3229-137,,,,,,,,,,,,,
دار الاحباب لرعاية الايتام ذوى الاحتياجات الخاصة,"1 ش 804 متفرع من ش ملك حفنى, سيدى بشر بحرى, الاسكندرية",سيدي بشر,الاسكندرية,Egypt,,,,,+203-5566-324,,,,,,,,,,,,,
دار القدس لرعاية وايواء الايتام ذوى الاحتياجات الخاصة,"76 ش 10, المعادى, القاهرة",المعادي,القاهرة,Egypt,,,,,+202-2359-6822,,,,,,,,,,,,,
مؤسسة متعددى الاعاقات,"قرية الخادمية, سيدى غازى, كفر الشيخ",مركز الرياض,كفر الشيخ,Egypt,,,,,+2047-3396-602,,,,,,,,,,,,,
