title,address (option),city,state,country,latitude (option),longitude (option),postal code,description (option),phone (option),website (option),facebook (option),twitter (option),linkedin (option),instagram (option),whatsapp (option),youtube id (option),feature image,gallery images,timezone,show_hours (1:show 2:not show),hours,exceptional_hours
جمعية الوفاء للتنمية والتأهيل الاجتماعى,"ش د. النبوى المهندس, المندره قبلى, الاسكندرية",المندرة,الإسكندرية,Egypt,,,,,+203-3229-137,,,,,,,,,,,,,
دار الاحباب لرعاية الايتام ذوى الاحتياجات الخاصة,"1 ش 804 متفرع من ش ملك حفنى, سيدى بشر بحرى, الاسكندرية",سيدي بشر,الإسكندرية,Egypt,,,,,+203-5566-324,,,,,,,,,,,,,
